Date,Company,Count
5/22,台積電,47
5/22,ASML,39
5/22,Applied Materials,6
5/22,SUMCO,6
4/22,台積電,79
4/22,ASML,31
4/22,Applied Materials,7
4/22,SUMCO,7
3/22,台積電,86
3/22,ASML,67
3/22,Applied Materials,4
3/22,SUMCO,9
2/22,台積電,84
2/22,ASML,26
2/22,Applied Materials,4
2/22,SUMCO,5
1/22,台積電,103
1/22,ASML,52
1/22,SUMCO,3
12/21,台積電,97
12/21,ASML,111
12/21,Applied Materials,6
12/21,SUMCO,1
11/21,台積電,123
11/21,ASML,50
11/21,Applied Materials,2
11/21,SUMCO,10
10/21,台積電,171
10/21,ASML,129
10/21,Applied Materials,6
10/21,SUMCO,55
